house_id,location_id,builder_id,property_type_id,listing_date,area_sqft,bedrooms,bathrooms,balcony_count,parking_spaces,floor_number,total_floors,furnishing_status,property_age,facing_direction,price,sale_status
1,L067,B014,PT004,12/27/2024,3487,5,4,1,2,8,35,Unfurnished,2,South-East,29335756,Reserved
2,L084,B009,PT010,1/25/2025,4488,6,5,1,4,27,35,Unfurnished,8,North-West,59799807,Available
3,L006,B011,PT008,12/12/2024,3723,6,5,3,3,28,20,Unfurnished,9,South-West,21170495,Reserved
4,L073,B025,PT008,9/1/2025,2569,4,5,1,0,31,22,Unfurnished,10,West,28658302,Available
5,L007,B039,PT010,11/22/2025,4830,6,5,3,2,5,33,Semi-Furnished,2,East,62114414,Available
6,L057,B004,PT008,5/21/2024,3314,5,4,1,3,12,5,Unfurnished,16,East,29054322,Reserved
7,L052,B048,PT005,9/1/2025,2397,3,3,4,2,23,20,Unfurnished,10,North,26245274,Reserved
8,L013,B049,PT009,2/29/2024,1095,1,1,4,3,8,18,Semi-Furnished,3,North-West,7104908,Sold
9,L087,B007,PT005,5/1/2025,2461,4,4,2,4,33,36,Furnished,0,West,17710796,Reserved
10,L060,B022,PT010,11/19/2025,4751,6,5,3,4,12,29,Furnished,3,East,70991451,Available
11,L059,B008,PT005,6/6/2025,1637,2,2,4,2,28,14,Furnished,2,South,23922556,Sold
12,L006,B046,PT005,7/11/2025,1111,1,2,1,0,1,3,Unfurnished,6,West,16785015,Reserved
13,L094,B014,PT004,10/19/2025,4805,6,5,4,2,11,4,Unfurnished,19,West,50119881,Reserved
14,L084,B035,PT004,2/18/2024,2442,4,5,1,2,14,25,Unfurnished,4,West,13246958,Sold
15,L043,B005,PT003,7/12/2024,2297,3,3,2,0,15,32,Unfurnished,9,South-West,27955026,Available
16,L002,B043,PT005,5/18/2024,3289,5,4,1,1,1,16,Semi-Furnished,16,North,37483946,Sold
17,L006,B006,PT003,8/8/2025,2240,3,4,3,3,23,25,Unfurnished,2,North-West,21572451,Available
18,L012,B028,PT007,9/1/2025,1070,1,2,4,3,21,9,Semi-Furnished,14,South,12565919,Available
19,L093,B017,PT002,8/17/2024,821,1,2,4,2,16,18,Semi-Furnished,8,South,7492279,Available
20,L049,B017,PT002,10/25/2024,4485,6,5,1,3,19,4,Furnished,0,North-East,61819052,Available
21,L042,B010,PT003,2/14/2024,2681,4,5,1,2,29,16,Unfurnished,9,South,18694855,Reserved
22,L099,B017,PT010,9/19/2024,2373,3,3,2,3,16,38,Furnished,10,West,24740562,Sold
23,L026,B014,PT001,3/2/2025,2336,3,3,1,4,35,30,Furnished,7,South-East,35746766,Available
24,L049,B043,PT007,5/7/2024,2428,4,5,2,3,35,4,Furnished,6,South-East,19540031,Sold
25,L065,B042,PT002,12/26/2025,2190,3,3,4,3,9,11,Semi-Furnished,9,West,16947420,Sold
26,L044,B038,PT007,9/18/2024,690,1,1,1,3,5,2,Unfurnished,17,North,7995019,Available
27,L054,B040,PT005,6/18/2024,3521,5,4,4,1,14,19,Semi-Furnished,12,North-West,19697131,Available
28,L025,B042,PT010,2/18/2024,4400,6,5,2,0,30,11,Semi-Furnished,4,East,47945886,Sold
29,L007,B031,PT008,1/25/2024,4494,6,5,3,3,18,13,Unfurnished,3,South,31990991,Available
30,L088,B010,PT006,6/20/2024,2127,3,2,2,2,10,11,Furnished,5,South,31036118,Sold
31,L094,B034,PT010,1/17/2024,1494,2,2,2,0,12,4,Unfurnished,2,North-East,12759405,Reserved
32,L091,B041,PT001,7/14/2025,3948,6,5,1,1,4,23,Semi-Furnished,3,North-West,29891378,Sold
33,L073,B025,PT008,7/25/2025,2342,3,4,2,1,33,31,Unfurnished,3,South,26887165,Available
34,L056,B012,PT007,1/15/2025,2371,3,2,2,4,9,21,Unfurnished,7,North,24591577,Sold
35,L059,B008,PT009,10/20/2024,2192,3,2,2,2,15,39,Furnished,18,North-East,21813244,Available
36,L071,B012,PT007,7/10/2024,1612,2,2,2,1,12,5,Unfurnished,1,North,21028545,Reserved
37,L056,B042,PT001,12/19/2025,3529,5,4,3,3,30,14,Unfurnished,5,North-East,53541572,Sold
38,L100,B030,PT010,12/28/2024,1852,3,3,3,3,2,33,Semi-Furnished,20,North,23720135,Sold
39,L038,B004,PT003,2/21/2025,1999,3,4,4,1,8,24,Semi-Furnished,0,South,31641965,Reserved
40,L075,B045,PT009,11/27/2025,4527,6,5,4,4,8,37,Unfurnished,4,East,25448048,Reserved
41,L028,B048,PT003,8/15/2025,1046,1,1,2,0,4,3,Semi-Furnished,1,South,9462843,Reserved
42,L007,B048,PT004,6/13/2025,3289,5,4,3,4,32,22,Semi-Furnished,17,North-West,33836605,Sold
43,L085,B042,PT009,3/5/2024,4035,6,5,2,0,3,4,Semi-Furnished,1,South-East,22684627,Sold
44,L034,B023,PT008,3/20/2024,2167,3,4,1,2,18,38,Unfurnished,3,South-West,32952146,Available
45,L056,B040,PT008,6/19/2024,885,1,1,4,1,9,34,Furnished,10,South,5690695,Sold
46,L032,B040,PT008,8/23/2025,2665,4,3,4,0,17,20,Furnished,18,South-East,22454545,Sold
47,L022,B003,PT010,8/9/2025,1146,1,2,4,1,19,35,Semi-Furnished,4,North-West,12831608,Reserved
48,L047,B044,PT010,12/10/2024,4525,6,5,2,2,8,3,Unfurnished,19,North-West,61583091,Sold
49,L031,B044,PT005,7/2/2024,4789,6,5,3,1,26,18,Furnished,20,South-East,58856439,Reserved
50,L099,B030,PT010,1/16/2025,4236,6,5,4,0,1,36,Semi-Furnished,17,North,24118792,Reserved
51,L019,B043,PT001,2/13/2025,4818,6,5,1,1,20,36,Unfurnished,7,West,70984655,Available
52,L059,B027,PT007,10/18/2024,4847,6,5,4,2,34,16,Unfurnished,0,South-East,66664403,Available
53,L092,B050,PT009,7/28/2025,4157,6,5,3,0,33,25,Semi-Furnished,20,East,50929138,Available
54,L093,B025,PT001,9/20/2025,4720,6,5,1,2,7,6,Unfurnished,7,West,27535522,Available
55,L032,B021,PT003,3/12/2025,3428,5,5,2,2,31,27,Unfurnished,5,South,29649943,Reserved
56,L046,B010,PT007,3/16/2024,1200,2,3,4,3,13,40,Furnished,15,West,15024320,Reserved
57,L015,B008,PT005,6/11/2025,3032,5,5,2,0,10,11,Unfurnished,9,South-West,33233460,Reserved
58,L014,B029,PT002,7/19/2025,2404,4,3,1,0,19,16,Unfurnished,19,East,31946914,Sold
59,L072,B022,PT007,11/11/2025,4659,6,5,1,3,30,17,Unfurnished,14,East,35175052,Available
60,L016,B016,PT003,2/8/2025,1419,2,2,3,4,9,31,Unfurnished,15,West,20684026,Reserved
61,L093,B047,PT004,9/23/2025,3564,5,5,1,4,20,8,Semi-Furnished,11,West,35149713,Available
62,L083,B035,PT005,2/8/2024,832,1,2,3,0,35,30,Semi-Furnished,18,South-West,5775597,Available
63,L070,B034,PT008,7/4/2024,3500,5,4,4,4,27,29,Unfurnished,16,North,49342908,Reserved
64,L053,B011,PT002,10/3/2024,3612,6,5,4,3,35,4,Unfurnished,10,West,25204861,Sold
65,L028,B041,PT007,11/4/2024,3062,5,5,1,1,24,9,Unfurnished,3,South-East,27928270,Reserved
66,L071,B008,PT001,1/19/2025,1919,3,4,2,2,23,3,Semi-Furnished,17,South,30041106,Reserved
67,L023,B046,PT010,7/30/2024,2815,4,3,4,0,1,14,Semi-Furnished,16,North-East,21880304,Sold
68,L031,B036,PT004,6/8/2025,2929,4,3,3,4,5,3,Semi-Furnished,0,West,32037939,Reserved
69,L054,B002,PT005,4/4/2025,4577,6,5,2,1,27,7,Furnished,8,West,70140975,Sold
70,L057,B025,PT005,7/16/2025,1551,2,1,2,4,10,15,Semi-Furnished,5,South,19626853,Reserved
71,L060,B019,PT007,9/6/2024,4544,6,5,4,1,16,7,Furnished,15,South-West,33412620,Reserved
72,L057,B009,PT002,9/10/2024,2456,4,4,4,4,26,10,Semi-Furnished,7,East,29585012,Reserved
73,L053,B030,PT006,12/17/2024,4098,6,5,2,2,30,22,Unfurnished,8,West,54232082,Available
74,L099,B008,PT005,9/10/2025,1786,2,1,2,1,6,40,Furnished,0,North,18221653,Reserved
75,L044,B010,PT006,7/12/2024,4376,6,5,4,3,0,7,Furnished,18,East,64200792,Sold
76,L090,B004,PT002,2/9/2024,4552,6,5,4,1,8,13,Furnished,4,South,24294197,Reserved
77,L027,B031,PT003,6/24/2025,2294,3,3,2,3,25,11,Semi-Furnished,12,North-West,25803441,Available
78,L055,B044,PT007,12/27/2025,3738,6,5,4,1,25,7,Semi-Furnished,11,North-West,20255828,Available
79,L048,B002,PT006,12/2/2024,2539,4,4,2,0,18,27,Semi-Furnished,4,South,23481036,Available
80,L073,B027,PT003,8/23/2024,2181,3,3,1,2,29,26,Furnished,13,North-West,24478662,Available
81,L053,B013,PT001,12/18/2024,1401,2,1,3,2,35,27,Unfurnished,15,South,10007628,Sold
82,L033,B037,PT002,2/1/2024,3447,5,5,2,0,35,7,Furnished,3,South,18901311,Sold
83,L022,B038,PT007,2/8/2024,2191,3,4,1,0,26,21,Unfurnished,3,South-West,25313095,Available
84,L084,B038,PT005,8/24/2025,4824,6,5,4,2,7,1,Furnished,12,North-West,58177501,Reserved
85,L056,B037,PT007,2/15/2024,1401,2,3,1,3,12,25,Unfurnished,6,North-West,13859283,Available
86,L042,B045,PT009,3/16/2025,1520,2,3,1,4,16,28,Furnished,1,South-West,14662519,Available
87,L016,B039,PT007,9/9/2025,810,1,1,1,1,7,1,Unfurnished,14,North-West,6568457,Available
88,L053,B009,PT007,9/24/2025,2928,4,3,1,4,27,19,Unfurnished,3,West,40902972,Sold
89,L061,B009,PT010,9/1/2025,4742,6,5,3,1,28,2,Semi-Furnished,13,North-East,24686913,Sold
90,L034,B002,PT002,10/28/2024,3517,5,5,2,0,5,34,Unfurnished,18,North-West,51483651,Sold
91,L100,B027,PT006,11/12/2024,1041,1,2,2,2,19,39,Furnished,17,South-East,12002641,Reserved
92,L071,B019,PT008,9/15/2024,3264,5,4,4,3,13,40,Furnished,4,South-East,36146057,Sold
93,L040,B043,PT006,7/18/2025,4694,6,5,4,3,25,18,Semi-Furnished,0,North,55880653,Sold
94,L052,B049,PT008,3/13/2025,1293,2,1,4,0,34,31,Semi-Furnished,0,North,17930211,Reserved
95,L037,B050,PT008,9/26/2025,2724,4,5,3,2,26,37,Semi-Furnished,10,South-East,27041141,Sold
96,L098,B042,PT008,11/14/2025,1627,2,1,1,3,13,39,Semi-Furnished,10,South,19321109,Reserved
97,L092,B030,PT002,4/5/2024,1261,2,1,2,1,22,39,Unfurnished,0,South,11251486,Available
98,L082,B045,PT009,12/18/2024,2455,4,4,1,3,27,15,Unfurnished,17,North-West,32590857,Sold
99,L093,B021,PT001,12/4/2024,3940,6,5,4,0,26,36,Semi-Furnished,5,East,31810724,Reserved
100,L054,B036,PT007,8/1/2025,1165,1,1,4,0,24,35,Semi-Furnished,5,West,7339963,Sold
101,L046,B017,PT008,4/5/2025,4678,6,5,4,1,31,37,Semi-Furnished,2,West,33011687,Available
102,L031,B048,PT010,8/9/2024,1438,2,1,2,2,28,9,Semi-Furnished,20,West,12498940,Reserved
103,L006,B014,PT008,12/10/2024,2406,4,5,2,4,6,20,Furnished,15,South-East,21283894,Sold
104,L060,B049,PT004,1/14/2024,1213,2,2,4,2,33,22,Furnished,11,North,15831866,Available
105,L039,B046,PT007,10/15/2025,3950,6,5,3,2,5,7,Semi-Furnished,17,South,48177196,Available
106,L100,B023,PT004,5/4/2024,607,1,1,4,3,20,2,Unfurnished,9,North-West,7203233,Available
107,L011,B003,PT010,5/21/2024,1452,2,1,4,2,20,14,Furnished,15,South-East,20479809,Sold
108,L084,B027,PT001,8/15/2024,4896,6,5,2,2,17,11,Unfurnished,8,West,59555345,Available
109,L066,B008,PT003,7/30/2025,3744,6,5,3,0,15,36,Semi-Furnished,12,North-East,58020263,Sold
110,L070,B049,PT005,10/9/2025,1148,1,2,4,4,33,3,Semi-Furnished,6,West,10844591,Reserved
