sale_id,house_id,owner_id,sale_date,sale_price,payment_method,loan_amount,down_payment,interest_rate,loan_term_years,agent_id,registration_fee,tax_amount,discount_amount,sale_status
1,H08866,O00774,2023-04-30,41770550,Bank Transfer,20171817,21598733,10,25,A001,417706,2088528,268783,Cancelled
2,H05187,O00604,2024-07-22,35980199,Mortgage,10931648,25048551,10.46,15,A093,359802,1799010,463245,Pending
3,H08168,O00756,2021-06-19,38357501,Mortgage,23938402,14419099,7.84,15,A163,383575,1917875,346622,Completed
4,H01860,O01761,2022-10-22,18183735,Mortgage,12765899,5417836,9.56,20,A018,181837,909187,81977,Cancelled
5,H02615,O01211,2020-05-11,20140186,Home Loan,12654915,7485271,7.91,25,A141,201402,1007009,275694,Pending
6,H09239,O00083,2020-10-14,47065701,UPI,20680470,26385231,11.01,20,A134,470657,2353285,163607,Completed
7,H04869,O01536,2023-05-02,22227378,Mortgage,16310325,5917053,10.67,25,A191,222274,1111369,113051,Pending
8,H01111,O00947,2025-02-16,34492658,Mortgage,16800506,17692152,7.92,25,A136,344927,1724633,477735,Completed
9,H09751,O01255,2020-07-17,40755058,Mortgage,12297538,28457520,10.38,25,A102,407551,2037753,238568,Pending
10,H02863,O00167,2025-12-22,6495480,Home Loan,2953640,3541840,6.9,15,A170,64955,324774,40750,Completed
11,H02146,O00089,2024-10-10,14050717,Mortgage,6876747,7173970,10.54,30,A016,140507,702536,493220,Cancelled
12,H09863,O00337,2022-06-16,29635625,Bank Transfer,12974252,16661373,9.4,15,A136,296356,1481781,224957,Completed
13,H09666,O00612,2021-12-10,35044697,Bank Transfer,20895557,14149140,8.19,20,A134,350447,1752235,386339,Cancelled
14,H02140,O00912,2023-08-01,16116853,UPI,11644630,4472223,9.87,25,A039,161169,805843,437123,Pending
15,H02261,O00903,2025-10-07,15158352,Cash,10364397,4793955,7.47,20,A094,151584,757918,404572,Cancelled
16,H05568,O00925,2020-06-02,31562750,UPI,23261605,8301145,10.47,25,A053,315628,1578138,34,Cancelled
17,H07828,O00762,2025-08-21,22313584,Home Loan,7128302,15185282,11.78,15,A126,223136,1115679,249793,Pending
18,H05196,O00345,2022-07-08,12606122,UPI,6872486,5733636,9.57,25,A030,126061,630306,484770,Completed
19,H03483,O01007,2022-01-16,2672006,Home Loan,921103,1750903,11.04,10,A171,26720,133600,9686,Pending
20,H00985,O01080,2023-10-11,29242787,UPI,13546126,15696661,10.85,10,A052,292428,1462139,276842,Completed
21,H04046,O00354,2023-05-09,39372529,Cash,30824951,8547578,8.67,20,A103,393725,1968626,371070,Completed
22,H01752,O00638,2023-02-11,45511306,UPI,27378376,18132930,8.26,15,A063,455113,2275565,404751,Completed
23,H02588,O01373,2023-05-13,42877988,Cash,29405147,13472841,9.67,30,A017,428780,2143899,197635,Completed
24,H04182,O00430,2020-04-22,25934226,Home Loan,18408466,7525760,8.46,15,A114,259342,1296711,385513,Cancelled
25,H07765,O00937,2024-04-28,15827652,Home Loan,10886650,4941002,9.95,20,A025,158277,791383,236666,Pending
26,H03297,O00306,2020-08-22,6217443,Cash,3874533,2342910,11.59,10,A094,62174,310872,224894,Pending
27,H06226,O01046,2022-02-28,28234883,Bank Transfer,12982222,15252661,10.41,10,A165,282349,1411744,391780,Pending
28,H02891,O01002,2023-06-12,17857155,Cash,8544411,9312744,10.23,30,A113,178572,892858,493727,Cancelled
29,H05288,O01540,2023-08-18,21282992,UPI,13140661,8142331,10.75,15,A010,212830,1064150,339910,Pending
30,H02246,O01932,2023-08-13,47604288,Cash,27108049,20496239,7.95,10,A057,476043,2380214,107423,Completed
31,H09527,O01148,2022-02-05,21672696,Home Loan,10396283,11276413,9.43,30,A015,216727,1083635,373253,Completed
32,H01553,O00209,2022-05-13,17931173,Home Loan,12406344,5524829,9.21,30,A084,179312,896559,165498,Cancelled
33,H00669,O00309,2021-05-21,30137449,Bank Transfer,13658925,16478524,7.66,10,A064,301374,1506872,197533,Cancelled
34,H09934,O00513,2023-12-22,45155859,Cash,15769789,29386070,6.8,30,A126,451559,2257793,69437,Completed
35,H06803,O00434,2021-01-04,32664007,Mortgage,22277343,10386664,6.72,15,A055,326640,1633200,427412,Pending
36,H00705,O01725,2022-08-31,7732034,UPI,2721959,5010075,7.88,15,A113,77320,386602,14137,Completed
37,H04772,O00871,2020-10-14,15560480,Mortgage,11596103,3964377,11.12,15,A118,155605,778024,483809,Cancelled
38,H00622,O00801,2024-05-25,8014961,Mortgage,2681162,5333799,9.62,30,A185,80150,400748,205605,Cancelled
39,H08299,O00250,2024-06-07,30367520,Cash,11619528,18747992,9.23,30,A163,303675,1518376,18652,Pending
40,H03045,O00996,2023-07-07,6921599,UPI,4921766,1999833,10.63,10,A070,69216,346080,470293,Pending
41,H06238,O00584,2020-06-28,29913482,Home Loan,22422267,7491215,9.55,15,A184,299135,1495674,185269,Completed
42,H00261,O00677,2023-05-11,9289952,Bank Transfer,7295562,1994390,9.23,20,A190,92900,464498,422251,Cancelled
43,H09513,O01715,2024-02-27,49615531,Home Loan,28376390,21239141,8.49,15,A032,496155,2480777,129461,Cancelled
44,H02345,O00226,2025-09-10,36470236,Mortgage,19341410,17128826,11.23,25,A028,364702,1823512,218361,Completed
45,H04278,O01240,2021-05-17,26266008,Cash,15058245,11207763,11.96,10,A123,262660,1313300,133095,Completed
46,H07352,O00563,2025-11-23,36043947,UPI,16449247,19594700,10.1,20,A018,360439,1802197,108049,Cancelled
47,H07270,O00204,2025-06-17,24286098,Mortgage,7388376,16897722,11.95,30,A058,242861,1214305,214893,Cancelled
48,H01607,O01060,2020-11-28,36026554,Home Loan,23949978,12076576,9.75,30,A187,360266,1801328,408723,Pending
49,H08109,O00009,2021-04-02,49012342,Bank Transfer,27006567,22005775,9.01,20,A110,490123,2450617,172594,Completed
50,H07637,O00077,2024-01-15,6415167,Home Loan,2827269,3587898,7.46,10,A033,64152,320758,317409,Completed
51,H05993,O01138,2021-06-06,9308653,Mortgage,4018141,5290512,10.21,10,A096,93087,465433,206172,Cancelled
52,H03144,O00688,2021-02-28,12979765,UPI,7513422,5466343,6.66,25,A100,129798,648988,486834,Cancelled
53,H00339,O00369,2024-02-22,7724787,UPI,3696720,4028067,10.86,10,A150,77248,386239,17154,Cancelled
54,H09850,O00200,2021-06-14,37970211,Home Loan,23280206,14690005,10.61,25,A095,379702,1898511,53933,Pending
55,H04538,O00202,2024-07-14,49081823,UPI,38474628,10607195,8.05,20,A106,490818,2454091,361293,Pending
56,H09606,O00987,2024-04-13,5449968,Cash,2514965,2935003,7.65,30,A097,54500,272498,467285,Cancelled
57,H03982,O00665,2024-01-17,11157444,Cash,8098260,3059184,11.82,15,A090,111574,557872,476275,Completed
58,H09016,O01554,2021-11-28,43302383,Cash,28450627,14851756,9,20,A111,433024,2165119,105766,Cancelled
59,H06828,O00484,2025-11-10,15230152,Home Loan,11801293,3428859,6.55,30,A008,152302,761508,193971,Cancelled
60,H03282,O01227,2024-04-10,5906530,Bank Transfer,2401334,3505196,9.45,15,A030,59065,295326,291214,Pending
61,H08353,O01078,2021-12-11,8253148,Cash,6305507,1947641,8.92,25,A122,82531,412657,91438,Completed
62,H03595,O00182,2022-05-14,42321345,Home Loan,18545162,23776183,9.89,20,A060,423213,2116067,143635,Pending
63,H09767,O01633,2025-06-06,23508924,Mortgage,10114222,13394702,8.9,30,A001,235089,1175446,312536,Completed
64,H01456,O00336,2024-10-03,39651377,Home Loan,13603868,26047509,8.13,15,A182,396514,1982569,44295,Pending
65,H08875,O01968,2023-10-14,4196741,Cash,2279332,1917409,10.86,25,A162,41967,209837,44835,Pending
66,H08845,O00571,2020-05-19,43402289,Home Loan,33503154,9899135,9.28,15,A147,434023,2170114,383694,Cancelled
67,H04341,O00586,2021-03-16,31079493,UPI,17618176,13461317,9.64,10,A081,310795,1553975,94765,Pending
68,H03727,O00375,2023-04-13,5563274,Bank Transfer,4035918,1527356,9.86,30,A162,55633,278164,343527,Pending
69,H06600,O01317,2024-07-16,43993640,UPI,15672312,28321328,9.72,10,A080,439936,2199682,490645,Cancelled
70,H06514,O00081,2025-03-13,37010664,Bank Transfer,18959461,18051203,10.2,25,A071,370107,1850533,314968,Cancelled
71,H05979,O01598,2024-07-05,15932300,UPI,11721173,4211127,10.44,15,A003,159323,796615,26407,Cancelled
72,H08183,O01860,2023-06-26,17232353,Cash,6450036,10782317,7.95,10,A152,172324,861618,91069,Completed
73,H05929,O00232,2024-06-06,30817976,Mortgage,16151039,14666937,10.79,25,A139,308180,1540899,108149,Pending
74,H02187,O01825,2024-03-10,14460717,Mortgage,10701577,3759140,7.57,20,A137,144607,723036,243113,Pending
75,H08713,O00639,2024-09-23,11748268,Cash,8747616,3000652,9.42,10,A067,117483,587413,320020,Completed
76,H06429,O00477,2022-06-16,40658986,Bank Transfer,24908813,15750173,11.31,25,A135,406590,2032949,238154,Completed
77,H04375,O01486,2022-02-01,19586570,Home Loan,6716126,12870444,8.18,30,A056,195866,979328,227978,Pending
78,H08132,O00830,2020-06-22,13020523,UPI,5377990,7642533,8.49,10,A089,130205,651026,221267,Cancelled
79,H09179,O00134,2022-12-12,38669247,Cash,19424364,19244883,6.79,25,A034,386692,1933462,226287,Completed
80,H09698,O01050,2020-01-15,48478557,Home Loan,25023743,23454814,11.05,10,A060,484786,2423928,250166,Pending
81,H01999,O00105,2022-03-06,24759570,Mortgage,8203693,16555877,8.91,15,A005,247596,1237978,274460,Cancelled
82,H00883,O01836,2025-11-28,5710784,Bank Transfer,4237233,1473551,11.94,15,A057,57108,285539,26439,Pending
83,H02906,O01434,2021-07-11,39236809,UPI,18237574,20999235,9.39,25,A039,392368,1961840,306734,Cancelled
84,H08765,O01766,2023-11-19,21778859,Cash,11136854,10642005,8.88,30,A176,217789,1088943,321569,Completed
85,H05783,O00915,2020-02-19,12126604,Bank Transfer,4819884,7306720,6.55,20,A131,121266,606330,69863,Completed
86,H02861,O00126,2021-08-24,32906671,Bank Transfer,20193478,12713193,9.74,20,A055,329067,1645334,477181,Completed
87,H01201,O00904,2020-03-29,8566022,UPI,6136357,2429665,7.38,30,A117,85660,428301,186745,Pending
88,H09077,O00235,2024-10-24,35139910,Home Loan,24785398,10354512,11.08,10,A072,351399,1756996,146663,Cancelled
89,H01487,O00212,2023-12-17,46866198,UPI,34970252,11895946,10.45,10,A110,468662,2343310,67931,Cancelled
90,H06482,O00794,2023-04-08,44633774,Home Loan,20935935,23697839,7.41,25,A057,446338,2231689,490947,Cancelled
91,H03933,O00312,2023-12-20,8191451,Cash,4994370,3197081,11.59,15,A114,81915,409573,53840,Pending
92,H09592,O01268,2020-04-04,11064012,Cash,7192443,3871569,11.45,15,A038,110640,553201,296190,Cancelled
93,H05460,O01404,2020-09-01,48726583,Bank Transfer,24733541,23993042,9.65,10,A197,487266,2436329,77211,Completed
94,H02768,O01100,2024-07-22,3927311,Cash,2764213,1163098,7.12,30,A047,39273,196366,169879,Completed
95,H09938,O00346,2023-04-15,18205601,Bank Transfer,8637873,9567728,7.47,30,A103,182056,910280,53788,Pending
96,H08598,O01657,2024-03-21,23065199,Mortgage,9723508,13341691,6.64,10,A031,230652,1153260,124282,Completed
97,H07984,O00388,2020-09-17,2981484,Bank Transfer,2114518,866966,6.95,10,A021,29815,149074,46030,Completed
98,H04610,O00250,2024-08-26,10554575,Home Loan,6839327,3715248,8.37,25,A100,105546,527729,378357,Pending
99,H06176,O00045,2021-01-24,42009771,Bank Transfer,15203071,26806700,6.96,15,A014,420098,2100489,177684,Completed
100,H01824,O00416,2020-12-28,25510433,Bank Transfer,11813766,13696667,8.38,10,A023,255104,1275522,327372,Cancelled
101,H00001,O00988,2023-09-23,12812284,Home Loan,7418155,5394129,11.88,10,A191,128123,640614,203562,Cancelled
102,H04494,O01069,2025-09-27,31398171,Mortgage,16057851,15340320,11.94,10,A127,313982,1569909,166991,Completed
103,H08488,O01368,2021-04-15,45349540,Mortgage,32903668,12445872,6.81,10,A194,453495,2267477,113395,Pending
104,H01486,O00353,2021-06-07,49466562,Home Loan,32386520,17080042,7.99,20,A004,494666,2473328,53382,Pending
105,H03857,O00596,2024-04-25,9336847,Bank Transfer,7273634,2063213,7.18,20,A151,93368,466842,86148,Pending
106,H01025,O01712,2025-03-14,3287499,Home Loan,2628376,659123,10.21,25,A049,32875,164375,90384,Cancelled
107,H04321,O00017,2023-06-27,36675731,Cash,17919431,18756300,8.99,20,A064,366757,1833787,378808,Pending
108,H05789,O01180,2022-02-26,24267495,Home Loan,9012528,15254967,10.08,30,A156,242675,1213375,49625,Cancelled
109,H02159,O00422,2024-11-23,27568458,Home Loan,16155754,11412704,6.83,10,A135,275685,1378423,153608,Completed
110,H00030,O01991,2020-04-26,29358586,Bank Transfer,16491826,12866760,10.6,10,A133,293586,1467929,370473,Pending
111,H07439,O01086,2022-07-07,30195973,Mortgage,11817062,18378911,7.79,10,A060,301960,1509799,357483,Completed
